Country,Gold,Silver,Bronze,Total,population,gdp_per_capita_usd,temperature,Sport,Sport_Gold,Sport_Silver,Sport_Bronze,Sport_Total,sport_dominance_pct,climate_zone
Finland,0,1,5,6,5639673,52834.2916752703,5.6714,Cross-Country Skiing,0,0,1,1,16.67,Cold
Finland,0,1,5,6,5639673,52834.2916752703,5.6714,Ice Hockey,0,0,1,1,16.67,Cold
Finland,0,1,5,6,5639673,52834.2916752703,5.6714,Nordic Combined,0,1,2,3,50.0,Cold
Latvia,0,1,1,2,1829717,22710.2637544197,7.7102,Luge,0,1,0,1,50.0,Cold
Latvia,0,1,1,2,1829717,22710.2637544197,7.7102,Short Track Speed Skating,0,0,1,1,50.0,Cold
Denmark,0,1,0,1,6025989,68043.5466971243,9.6826,Speed Skating,0,1,0,1,100.0,Mild
Estonia,0,1,0,1,1347008,30264.0064885057,7.1536,Freestyle Skiing,0,1,0,1,100.0,Cold
Georgia,0,1,0,1,3754571,8283.66960652261,9.4212,Figure Skating,0,1,0,1,100.0,Mild
Bulgaria,0,0,2,2,6552509,15853.208636704,12.198,Biathlon,0,0,1,1,50.0,Mild
Bulgaria,0,0,2,2,6552509,15853.208636704,12.198,Snowboard,0,0,1,1,50.0,Mild
Belgium,0,0,1,1,11851553,55291.4754541329,11.126,Short Track Speed Skating,0,0,1,1,100.0,Mild
